,AbsRet_30D,RelStr_30D,AbsRet_90D,RelStr_90D,AbsRet_180D,RelStr_180D,RS Score,Rank
ETERNAL.NS,0.75,-0.88,46.36,1139.34,44.84,5.91,381.46,1.0
ADANIPOWER.NS,27.1,-31.69,38.01,934.05,69.49,9.17,303.84,2.0
HYUNDAI.NS,1.97,-2.31,36.03,885.57,44.98,5.93,296.4,3.0
EICHERMOT.NS,18.26,-21.35,31.97,785.72,44.0,5.8,256.73,4.0
MARUTI.NS,12.26,-14.34,30.0,737.22,40.36,5.32,242.73,5.0
TVSMOTOR.NS,7.06,-8.25,23.51,577.7,59.52,7.85,192.43,6.0
BOSCHLTD.NS,-4.04,4.73,19.56,480.8,25.37,3.35,162.96,7.0
CANBK.NS,10.22,-11.95,18.23,447.97,44.82,5.91,147.31,8.0
HINDALCO.NS,9.29,-10.86,17.0,417.84,36.86,4.86,137.28,9.0
M&M.NS,2.0,-2.33,14.85,364.97,16.39,2.16,121.6,10.0
PNB.NS,5.08,-5.94,13.52,332.23,21.37,2.82,109.7,11.0
JSWSTEEL.NS,5.87,-6.86,13.37,328.48,30.04,3.96,108.53,12.0
TORNTPHARM.NS,-2.64,3.09,12.54,308.15,11.33,1.49,104.24,13.0
JINDALSTEL.NS,5.0,-5.85,12.62,310.26,21.72,2.86,102.42,14.0
BANKBARODA.NS,6.01,-7.03,11.19,275.13,23.36,3.08,90.39,15.0
